plant_name,status,country,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
IOI Knowledge Vision Sdn Bhd,Normal,Malaysia,19/6/2025,71.92,20.42,4.54,326.67,77061.45,4.54,KAJANG,9,3.858888889,3.473,Normal,17.65,FALSE
IOI Mayang Development,Normal,Malaysia,18/7/2025,71.92,20.9,3.21,230.55,49037.36,3.21,KAJANG,9,3.858888889,3.473,Underperforming,-16.82,TRUE
LKW FROZEN SDN BHD,Normal,Malaysia,12/5/2024,54.99,3.74,3.61,198.56,93830.61,3.61,KAJANG,9,3.858888889,3.473,Normal,-6.45,FALSE
P.A. FOOD SDN. BHD.,Normal,Malaysia,7/5/2024,25.155,16.11,3.94,99.03,62364.94,3.94,KAJANG,9,3.858888889,3.473,Normal,2.1,FALSE
UCS_Block A,Offline,Malaysia,24/7/2022,125,0,3.58,447.55,485056.78,3.58,KAJANG,9,3.858888889,3.473,Normal,-7.23,FALSE
UCS_Block B,Normal,Malaysia,24/7/2022,135,13.72,3.65,493.08,562791.18,3.65,KAJANG,9,3.858888889,3.473,Normal,-5.41,FALSE
UCS_Block C,Normal,Malaysia,24/7/2022,185.5,19.25,3.69,684.62,775269.09,3.69,KAJANG,9,3.858888889,3.473,Normal,-4.38,FALSE
FDP AND MTB INDUSTRIES SDN BHD,Normal,Malaysia,25/1/2026,186,0,0,0,6803.17,0,KERLING,1,0,0,No comparison required,,FALSE
AMT PC DISTRIBUTORS SDN. BHD.,Normal,Malaysia,4/1/2024,88.335,10.06,3.93,346.92,250165.63,3.93,KLANG,32,3.6721875,3.30496875,Normal,7.02,FALSE
ASHITA COMMUNICATION,Normal,Malaysia,3/11/2025,91.76,0,0,0,0,0,KLANG,32,3.6721875,3.30496875,Underperforming,-100,TRUE
ASIA WIRE STEEL MESH MANUFACTURERS SDN BHD,Normal,Malaysia,3/3/2026,908.97,219.3,4.26,3875.01,153924.16,4.26,KLANG,32,3.6721875,3.30496875,Normal,16.01,FALSE
Advance Vi Tech Lot 1629,Normal,Malaysia,27/10/2024,240.13,151.61,4.13,991.81,393213.83,4.13,KLANG,32,3.6721875,3.30496875,Normal,12.47,FALSE
BUNCHO (M) SDN BHD,Normal,Malaysia,1/10/2025,91.14,23.51,3.7,337.55,26160.34,3.7,KLANG,32,3.6721875,3.30496875,Normal,0.76,FALSE
Hoon Yuen Furniture,Normal,Malaysia,20/11/2023,88.335,12.89,3.2,282.43,237727.04,3.2,KLANG,32,3.6721875,3.30496875,Underperforming,-12.86,TRUE
KCCCI 2FLOOR,Normal,Malaysia,27/3/2025,4.13,0.76,4.2,17.34,4913.99,4.2,KLANG,32,3.6721875,3.30496875,Normal,14.37,FALSE
KCCCI First Floor,Normal,Malaysia,27/3/2025,15.34,3.18,4.29,65.83,19856.64,4.29,KLANG,32,3.6721875,3.30496875,Normal,16.82,FALSE
KCCCI Ground Floor,Normal,Malaysia,27/3/2025,3.54,0.7,4.04,14.3,4211.77,4.04,KLANG,32,3.6721875,3.30496875,Normal,10.02,FALSE
Kamma Klang Enterprise,Normal,Malaysia,28/3/2023,88,21.53,3.77,332.16,328625.02,3.77,KLANG,32,3.6721875,3.30496875,Normal,2.66,FALSE
Kwang Hua Persendirian  meter  2-3-4-5-6,Normal,Malaysia,4/3/2022,302.475,52.88,3,908.56,1096091.99,3,KLANG,32,3.6721875,3.30496875,Underperforming,-18.3,TRUE
Lian Teck Seng Lot 11,Offline,Malaysia,6/5/2025,18.04,0,0,0,0,0,KLANG,32,3.6721875,3.30496875,Underperforming,-100,TRUE
MEWAH OILS SDN BHD,Normal,Malaysia,1/12/2025,220.1,119.19,4.52,994.5,5678.85,4.52,KLANG,32,3.6721875,3.30496875,Normal,23.09,FALSE
MIAW FRESH,Normal,Malaysia,31/5/2024,24.57,5.03,4.08,100.23,55503.18,4.08,KLANG,32,3.6721875,3.30496875,Normal,11.11,FALSE
Maxtwo Engineering (Factory),Offline,Malaysia,21/4/2025,35.38,0,3.03,107.24,32555.78,3.03,KLANG,32,3.6721875,3.30496875,Underperforming,-17.49,TRUE
PKT THE SHIP,Normal,Malaysia,21/1/2025,1068.21,619.6,3.8,4061.66,1172107.75,3.8,KLANG,32,3.6721875,3.30496875,Normal,3.48,FALSE
ROYAL KLANG CLUB,Normal,Malaysia,14/7/2025,91.76,25.4,3.76,345.22,78995.85,3.76,KLANG,32,3.6721875,3.30496875,Normal,2.39,FALSE
RS POLY INDUSTRY,Normal,Malaysia,2/8/2024,727.155,121.77,3.58,2606.15,1371487.09,3.58,KLANG,32,3.6721875,3.30496875,Normal,-2.51,FALSE
