plant_name,status,country,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
Ql Lot 16,,Malaysia,1/3/2025,64.05,8.66,0.11,6.96,79409.1,0.11,SHAH ALAM,13,0.118461538,0.106615385,Normal,-7.14,FALSE
San Soon Seng Food Industries Sdn Bhd,,Malaysia,2/10/2025,1292.7,209.01,0.16,210.98,591162.15,0.16,SHAH ALAM,13,0.118461538,0.106615385,Normal,35.06,FALSE
Succesfuel Sdn. Bhd.,,Malaysia,22/10/2024,90.86,15.43,0.13,11.93,151357.94,0.13,SHAH ALAM,13,0.118461538,0.106615385,Normal,9.74,FALSE
FURUTEC,,Malaysia,6/7/2024,132.21,23.04,0.18,23.88,281375.79,0.18,SIMPANG AMPAT,3,0.173333333,0.156,Normal,3.85,FALSE
Perbadanan Pengurusan Villa Raintree II,,Malaysia,18/4/2025,25.83,4.97,0.16,4.15,33298.02,0.16,SIMPANG AMPAT,3,0.173333333,0.156,Normal,-7.69,FALSE
THP MEDICAL,,Malaysia,8/1/2024,377.325,64.89,0.18,66.2,1125278.55,0.18,SIMPANG AMPAT,3,0.173333333,0.156,Normal,3.85,FALSE
Jebsen And Jessen Malaysia Sdn Bhd (MHE),,Malaysia,24/5/2025,184.76,28.03,0.12,22.97,146121.89,0.12,SIMPANG RENGGAM,1,0.12,0.108,No comparison required,0,FALSE
ATS AIR SOLUTION,,Malaysia,8/2/2024,22.23,3.8,0.14,3.08,57198.97,0.14,SUBANG JAYA,2,0.15,0.135,Normal,-6.67,FALSE
BOILERMECH LOT 873,,Malaysia,15/9/2025,280.5,51.83,0.16,43.64,138505.35,0.16,SUBANG JAYA,2,0.15,0.135,Normal,6.67,FALSE
KILANG BATU BATA,,Malaysia,27/6/2025,545.505,146.36,0.14,77.55,477273.55,0.14,SUNGAI SIPUT,1,0.14,0.126,No comparison required,0,FALSE
Farm Fresh Taiping (Factory),,Malaysia,14/6/2024,190.125,46.71,0.17,32.4,456105.1,0.17,TAIPING,3,0.16,0.144,Normal,6.25,FALSE
Farm Fresh Taiping (Farm),,Malaysia,14/6/2024,335.79,79.48,0.17,55.65,694519.42,0.17,TAIPING,3,0.16,0.144,Normal,6.25,FALSE
QL FOODS,,Malaysia,3/10/2024,1704.105,288.86,0.14,230.78,3239809.95,0.14,TAIPING,3,0.16,0.144,Underperforming,-12.5,TRUE
QL TAWAU FEEDMILL,,Malaysia,5/11/2025,317.2,8.53,0.05,14.99,39057.88,0.05,TAWAU,4,0.2125,0.19125,Underperforming,-76.47,TRUE
SABAH CHINESE HIGH SCHOOL (CANTEEN),,Malaysia,8/2/2024,26.91,5.93,0.29,7.77,12123.65,0.29,TAWAU,4,0.2125,0.19125,Normal,36.47,FALSE
SABAH CHINESE HIGH SCHOOL (CULTURE AND EDUCATION),,Malaysia,8/2/2024,94.768,39.83,0.31,29.08,29362.13,0.31,TAWAU,4,0.2125,0.19125,Normal,45.88,FALSE
SABAH CHINESE HIGH SCHOOL (TAK YUEN BUILDING),,Malaysia,8/2/2024,94.77,0,0.2,18.51,65281.78,0.2,TAWAU,4,0.2125,0.19125,Normal,-5.88,FALSE
CHAN KAH WHYE,,Malaysia,20/1/2025,14.75,2.49,0.15,2.17,20626.4,0.15,TELOK PANGLIMA GARANG,3,0.096666667,0.087,Normal,55.17,FALSE
DSG Malaysia Sdn. Bhd,,Malaysia,24/11/2022,2310.255,415.94,0.14,327.35,6196981.49,0.14,TELOK PANGLIMA GARANG,3,0.096666667,0.087,Normal,44.83,FALSE
LAM SOON EDIBLE OILS,,Malaysia,4/7/2025,86.8,0,0,0,0,0,TELOK PANGLIMA GARANG,3,0.096666667,0.087,Underperforming,-100,TRUE
Lau and Tan Pharmacy (1st Floor),,Malaysia,22/1/2022,12.375,0.43,0.06,0.76,47676.33,0.06,TERENGGANU,2,0.07,0.063,Underperforming,-14.29,TRUE
Lau and Tan Pharmacy (G.Floor),,Malaysia,22/1/2022,38.115,4.12,0.08,2.96,176018.51,0.08,TERENGGANU,2,0.07,0.063,Normal,14.29,FALSE
WASCO PIPE SDN BHD (COATING),,Malaysia,12/2/2026,350.92,0,0,0,0,0,TUARAN,2,0,0,Normal,,FALSE
WASCO PIPE SDN BHD (MILL),,Malaysia,13/2/2026,850.64,0,0,0,5.05,0,TUARAN,2,0,0,Normal,,FALSE
